,0,1,2,3,4,5,6,7,8,9,10,11,12
12,650,0.15949877,0.169909151,0.151105832,0.169725417,0.160968081,0.164621142,0.130028495,0.146141584,0.15764321,0.122542362,0.153218404,0.015275798
13,700,0.156347475,0.165797416,0.147056187,0.16600316,0.154535703,0.153677757,0.12767615,0.143927865,0.153887259,0.121880086,0.149078906,0.013861081
14,750,0.152541169,0.163323363,0.142675882,0.163135165,0.150620074,0.145979134,0.125625878,0.141311291,0.15047391,0.121331683,0.145701755,0.013166761
15,800,0.148184224,0.161279837,0.138074446,0.160561573,0.148497664,0.142855896,0.123602243,0.138470518,0.147675159,0.120619795,0.142982135,0.012819752
16,850,0.143616085,0.158706871,0.134015465,0.157601675,0.146941595,0.141270267,0.121510963,0.135939562,0.145120721,0.119579975,0.140430318,0.012482528
17,900,0.138965307,0.155319393,0.130722564,0.15428348,0.145248745,0.139598083,0.119469309,0.133780508,0.142381317,0.118223066,0.137799177,0.012021708
18,950,0.134511114,0.151391569,0.128142889,0.151281035,0.143108288,0.137085515,0.117451854,0.131685914,0.139493528,0.116730266,0.135088197,0.011506199
19,1000,0.13068227,0.14755871,0.126048989,0.148790971,0.140622572,0.133515659,0.115281392,0.129497746,0.136646278,0.115321692,0.132396628,0.011053329
20,1050,0.127499161,0.144179207,0.124173182,0.146318784,0.138088801,0.129673269,0.112736615,0.127333674,0.133754231,0.114092152,0.129784908,0.010700089
21,1100,0.124891681,0.14153023,0.122360948,0.143214161,0.135685418,0.126473863,0.109873388,0.125334677,0.130588577,0.112948732,0.127290168,0.010398432
22,1150,0.122712792,0.139596056,0.120720347,0.139300545,0.1332389,0.12421404,0.10700237,0.123422345,0.127181349,0.111751451,0.12491402,0.010080707
23,1200,0.120725588,0.137994884,0.11937889,0.135136731,0.130595573,0.122649757,0.104514239,0.121544378,0.123880199,0.110401422,0.122682166,0.009749762
24,1250,0.118730883,0.136285664,0.118345304,0.131517041,0.127442494,0.121424831,0.102501511,0.119760635,0.121117242,0.108880206,0.120600581,0.009419024
25,1300,0.116871591,0.134264838,0.117459622,0.128805145,0.123288648,0.120163494,0.100883556,0.118160387,0.119024596,0.107297775,0.118621965,0.009056651
26,1350,0.115312746,0.132102401,0.116548617,0.126734515,0.118330407,0.118598232,0.099562029,0.116699175,0.117405247,0.105773646,0.116706701,0.008716229
27,1400,0.114087207,0.130085236,0.115424486,0.124942126,0.114119684,0.116594292,0.098512794,0.115293883,0.115912937,0.104395437,0.114936808,0.008461116
28,1450,0.112978665,0.128298666,0.11401287,0.12329206,0.111255765,0.114335919,0.097679403,0.113914116,0.114386056,0.103231417,0.113338494,0.008231561
29,1500,0.111827173,0.126509461,0.11245356,0.12186545,0.109197568,0.112200939,0.096972376,0.112651341,0.112766994,0.102216878,0.111866174,0.007989703
30,1550,0.110537339,0.124568226,0.110810858,0.120719099,0.107421396,0.110442509,0.096272025,0.111544658,0.111228301,0.101278183,0.110482259,0.007752547
31,1600,0.109239853,0.122558961,0.109260086,0.119787016,0.105741423,0.109128233,0.095519985,0.1105667,0.109878286,0.100329809,0.109201035,0.00755427
32,1650,0.108063245,0.120612121,0.107792772,0.118895991,0.103996854,0.108141681,0.094678509,0.109675588,0.108637118,0.099349537,0.107984342,0.007412045
33,1700,0.107075603,0.118783339,0.106480726,0.117836462,0.101919682,0.107348282,0.093772452,0.108703026,0.107460594,0.098341466,0.106772163,0.007314464
34,1750,0.106161007,0.117022387,0.105285349,0.116517798,0.099441338,0.106602453,0.09284008,0.107657487,0.106375701,0.097338358,0.105524196,0.007244755
35,1800,0.105114779,0.115358012,0.104205777,0.114917688,0.096944471,0.105767004,0.091931193,0.106563791,0.105446196,0.09637444,0.104262335,0.007170563
36,1850,0.103776025,0.11382077,0.103135214,0.113104898,0.095019945,0.104704042,0.091031507,0.105503494,0.104661178,0.095426093,0.103018317,0.007042983
37,1900,0.102043203,0.112359899,0.102026655,0.111234069,0.093719221,0.103246523,0.090162144,0.104484803,0.10398605,0.094506693,0.101776926,0.006845646
38,1950,0.100160942,0.110800248,0.100916396,0.109410658,0.092806038,0.101124876,0.089339322,0.103511221,0.103335795,0.093620593,0.100502609,0.006590652
39,2000,0.098406627,0.109058309,0.09991098,0.107709602,0.092055182,0.09813421,0.088565659,0.102518105,0.102642029,0.092793962,0.099179466,0.006323753
40,2050,0.097041136,0.107169376,0.099084357,0.106175345,0.091341649,0.094893375,0.087831813,0.101527377,0.101815688,0.092016683,0.09788968,0.006107913
41,2100,0.095979263,0.105344309,0.098443387,0.104800246,0.090656343,0.092556318,0.087137599,0.100599787,0.100860899,0.091279082,0.096765723,0.005923655
42,2150,0.09509978,0.103851946,0.09790131,0.103542088,0.090022564,0.091340418,0.086461025,0.099755579,0.099835132,0.090544493,0.095835433,0.005741945
43,2200,0.094296388,0.102729476,0.097363241,0.102379347,0.089449241,0.090758997,0.085801035,0.099011206,0.098823738,0.089813205,0.095042587,0.005579364
44,2250,0.093483979,0.10189514,0.096743773,0.101358932,0.088950492,0.090437882,0.085167199,0.098323722,0.097868596,0.089106429,0.094333614,0.005449596
45,2300,0.092697226,0.101246896,0.095996157,0.100484806,0.088500677,0.090194557,0.084561156,0.097633498,0.096977056,0.088416139,0.093670817,0.005350036
46,2350,0.091942375,0.100693473,0.095124307,0.099714722,0.088053061,0.089940336,0.083993304,0.096889001,0.096167182,0.087781427,0.093029919,0.005265382
47,2400,0.091261364,0.100141385,0.094159003,0.098957905,0.087568503,0.089607019,0.083455785,0.096140797,0.09544174,0.087161788,0.092389529,0.005187989
48,2450,0.090639683,0.099523884,0.09315668,0.098151278,0.087021633,0.089151281,0.082924639,0.095394942,0.094812636,0.086563856,0.091734051,0.005110556
49,2500,0.090022561,0.098797899,0.09213967,0.097318037,0.086383546,0.088542989,0.082398585,0.094718943,0.094275903,0.085977232,0.091057536,0.005040527
50,2550,0.089354937,0.097964918,0.091155339,0.096482105,0.085683451,0.08778611,0.08188765,0.094066946,0.093791188,0.085403833,0.090357648,0.004973042
51,2600,0.088583783,0.097057626,0.090218757,0.095688595,0.084934241,0.086922284,0.081399724,0.093413992,0.093320242,0.084855659,0.08963949,0.004910872
52,2650,0.087672836,0.096122364,0.08934087,0.094975054,0.084179301,0.086019594,0.080938583,0.092701432,0.092804553,0.084339169,0.088909376,0.004850069
53,2700,0.086628088,0.095197657,0.088516486,0.094309665,0.083448823,0.085173039,0.080499964,0.091880366,0.092177271,0.083863058,0.088169442,0.004775526
54,2750,0.085446,0.094292567,0.087713109,0.093664894,0.082763527,0.084418556,0.080067271,0.090921567,0.091351849,0.083404282,0.087404362,0.004677729
55,2800,0.084136993,0.093404767,0.086924989,0.092977256,0.082148754,0.083782363,0.079623081,0.089818856,0.090200052,0.082940811,0.086595792,0.004541885
