,0,1,2,3,4,5,6,7,8,9,10,11,12
20,1050,0.249795431,0.276294557,0.275374401,0.266339638,0.268765699,0.251512035,0.24861554,0.237057311,0.256770998,0.241454951,0.257198056,0.013141162
21,1100,0.24750481,0.27305773,0.267111568,0.260820993,0.262156142,0.247705174,0.246905126,0.233774517,0.24995941,0.240214318,0.252920979,0.011764808
22,1150,0.245246873,0.270217338,0.260832021,0.256675066,0.255638556,0.245076378,0.245234275,0.232063769,0.246238541,0.23872691,0.249594973,0.010645509
23,1200,0.243082757,0.267047015,0.257497726,0.253521027,0.251521462,0.242958091,0.24340027,0.231105297,0.244408483,0.236786488,0.247132862,0.00991559
24,1250,0.241221456,0.263777854,0.255671505,0.25066167,0.249387865,0.240798441,0.24139278,0.230435679,0.243050112,0.234483231,0.245088059,0.009429664
25,1300,0.239741673,0.260785986,0.254112594,0.247322091,0.248061703,0.238500894,0.239347954,0.229739094,0.241231692,0.232082604,0.243092629,0.009090713
26,1350,0.238561376,0.258029037,0.252127065,0.243176674,0.246847703,0.236237414,0.237331483,0.228827741,0.238259307,0.229667378,0.240906518,0.008825172
27,1400,0.237512588,0.254896682,0.249422971,0.238626821,0.245346951,0.23424079,0.235330515,0.227533165,0.234054069,0.227214641,0.238417919,0.008553073
28,1450,0.236334184,0.251038311,0.246110326,0.234531357,0.243405724,0.232483946,0.233398337,0.225778615,0.229830834,0.224711655,0.235762329,0.008209819
29,1500,0.234905232,0.246977438,0.24264162,0.23127891,0.241146032,0.230772516,0.231530951,0.223622526,0.226903413,0.222243032,0.233202167,0.007802617
30,1550,0.233190366,0.243443766,0.239444536,0.22874002,0.238805504,0.229032205,0.229809245,0.221180955,0.225195139,0.220078943,0.230892068,0.007426586
31,1600,0.231250432,0.240889407,0.236685938,0.226497502,0.236432348,0.227354019,0.22822239,0.21872805,0.224135061,0.218355133,0.228855028,0.00715958
32,1650,0.22915255,0.239206979,0.234411297,0.224357994,0.233907489,0.225903414,0.226675829,0.216517904,0.223284696,0.217042978,0.227046113,0.006981197
33,1700,0.226940008,0.238060877,0.232435868,0.222321378,0.231242769,0.22468551,0.225136525,0.214698554,0.222351503,0.21608284,0.225395583,0.006833683
34,1750,0.224703612,0.237133401,0.230526702,0.220436771,0.228600677,0.223668831,0.223578191,0.213236466,0.221166201,0.21528946,0.223834031,0.006702326
35,1800,0.222582582,0.236159901,0.228607456,0.218713458,0.22612654,0.222695981,0.222096472,0.212013065,0.219727522,0.214579202,0.222330218,0.006570425
36,1850,0.22074646,0.234928625,0.226768293,0.21695315,0.223911938,0.22163289,0.220702973,0.210837291,0.218117539,0.213805715,0.220840487,0.006448114
37,1900,0.219126209,0.233305746,0.225036942,0.215054276,0.222007167,0.220427473,0.219256215,0.209675104,0.216471667,0.212888033,0.219324883,0.006304577
38,1950,0.217646469,0.231354228,0.223393231,0.213090965,0.220392726,0.219116234,0.217506288,0.208531251,0.214912496,0.211811782,0.217775567,0.006130588
39,2000,0.216205041,0.229229087,0.221756453,0.211180042,0.218977603,0.217761561,0.215260549,0.2074459,0.213452511,0.210585887,0.216185463,0.005937731
40,2050,0.214783859,0.227139823,0.220091532,0.209398752,0.217661068,0.21640499,0.212612295,0.206475274,0.212038159,0.209321139,0.214592689,0.005757691
41,2100,0.213443182,0.225183817,0.218470421,0.207865023,0.216305106,0.215020811,0.210004043,0.20560226,0.210700307,0.208070686,0.213066566,0.005596315
42,2150,0.21227535,0.22339921,0.216923901,0.206576998,0.214871488,0.213552657,0.207894333,0.204770838,0.209429999,0.206840113,0.211653489,0.005435749
43,2200,0.211209913,0.221804367,0.215448772,0.205517135,0.213364375,0.211920034,0.206438335,0.20387975,0.208221649,0.205611159,0.210341549,0.005263065
44,2250,0.210170532,0.22039349,0.214018857,0.20460799,0.211877835,0.210099197,0.205466404,0.202874181,0.207031486,0.20435665,0.209089662,0.005104096
45,2300,0.209052484,0.219103508,0.212586711,0.203776403,0.210384384,0.208062957,0.204785679,0.201722291,0.205837646,0.203122115,0.207843418,0.004969179
